$SDODC,19:32:32,17° 08.0346' N,091° 37.9766' W,A,8.30,M,A
$SDODC,19:32:32,17° 08.0349' N,091° 37.9759' W,A,8.30,M,A
$SDODC,19:32:32,17° 08.0349' N,091° 37.9759' W,A,8.30,M,A
$SDODC,19:32:32,17° 08.0349' N,091° 37.9759' W,A,8.30,M,A
$SDODC,19:32:32,17° 08.0349' N,091° 37.9759' W,A,8.30,M,A
$SDODC,19:32:32,17° 08.0351' N,091° 37.9752' W,A,8.30,M,A
$SDODC,19:32:32,17° 08.0351' N,091° 37.9752' W,A,8.30,M,A
$SDODC,19:32:32,17° 08.0351' N,091° 37.9752' W,A,8.30,M,A
$SDODC,19:32:32,17° 08.0351' N,091° 37.9752' W,A,8.30,M,A
$SDODC,19:32:32,17° 08.0351' N,091° 37.9752' W,A,8.30,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,8.30,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,8.60,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,8.30,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,8.50,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,8.50,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,8.20,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,8.70,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,8.50,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,8.50,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,8.70,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,8.60,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,8.40,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,8.10,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,8.80,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,7.80,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,7.70,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,7.90,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,7.80,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,7.90,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,7.60,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,7.30,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,7.10,M,A
$SDODC,19:32:32,17° 08.0352' N,091° 37.9746' W,A,7.80,M,A
