$SDODC,19:58:25,17° 07.5556' N,091° 38.1796' W,A,27.10,M,A
$SDODC,19:58:26,17° 07.5548' N,091° 38.1807' W,A,26.80,M,A
$SDODC,19:58:26,17° 07.5548' N,091° 38.1807' W,A,26.80,M,A
$SDODC,19:58:26,17° 07.5538' N,091° 38.1815' W,A,27.20,M,A
$SDODC,19:58:26,17° 07.5538' N,091° 38.1815' W,A,23.80,M,A
$SDODC,19:58:27,17° 07.5538' N,091° 38.1815' W,A,25.40,M,A
$SDODC,19:58:27,17° 07.5538' N,091° 38.1815' W,A,26.30,M,A
$SDODC,19:58:27,17° 07.5529' N,091° 38.1825' W,A,25.00,M,A
$SDODC,19:58:27,17° 07.5529' N,091° 38.1825' W,A,24.70,M,A
$SDODC,19:58:28,17° 07.5529' N,091° 38.1825' W,A,22.50,M,A
$SDODC,19:58:28,17° 07.5529' N,091° 38.1825' W,A,24.70,M,A
$SDODC,19:58:28,17° 07.5519' N,091° 38.1835' W,A,21.80,M,A
$SDODC,19:58:28,17° 07.5519' N,091° 38.1835' W,A,21.10,M,A
$SDODC,19:58:29,17° 07.5519' N,091° 38.1835' W,A,20.90,M,A
$SDODC,19:58:29,17° 07.5519' N,091° 38.1835' W,A,24.20,M,A
$SDODC,19:58:29,17° 07.5509' N,091° 38.1845' W,A,20.20,M,A
$SDODC,19:58:29,17° 07.5509' N,091° 38.1845' W,A,19.90,M,A
$SDODC,19:58:30,17° 07.5509' N,091° 38.1845' W,A,19.60,M,A
$SDODC,19:58:30,17° 07.5509' N,091° 38.1845' W,A,20.50,M,A
$SDODC,19:58:30,17° 07.5509' N,091° 38.1845' W,A,19.00,M,A
$SDODC,19:58:30,17° 07.5500' N,091° 38.1857' W,A,19.50,M,A
$SDODC,19:58:31,17° 07.5500' N,091° 38.1857' W,A,20.90,M,A
$SDODC,19:58:31,17° 07.5500' N,091° 38.1857' W,A,17.00,M,A
$SDODC,19:58:31,17° 07.5492' N,091° 38.1867' W,A,17.40,M,A
$SDODC,19:58:31,17° 07.5492' N,091° 38.1867' W,A,19.20,M,A
$SDODC,19:58:32,17° 07.5492' N,091° 38.1867' W,A,18.40,M,A
$SDODC,19:58:32,17° 07.5492' N,091° 38.1867' W,A,18.70,M,A
$SDODC,19:58:32,17° 07.5483' N,091° 38.1877' W,A,18.50,M,A
$SDODC,19:58:32,17° 07.5483' N,091° 38.1877' W,A,18.80,M,A
$SDODC,19:58:33,17° 07.5483' N,091° 38.1877' W,A,17.40,M,A
$SDODC,19:58:33,17° 07.5483' N,091° 38.1877' W,A,17.80,M,A
$SDODC,19:58:33,17° 07.5473' N,091° 38.1884' W,A,15.70,M,A
$SDODC,19:58:33,17° 07.5473' N,091° 38.1884' W,A,15.00,M,A
$SDODC,19:58:34,17° 07.5473' N,091° 38.1884' W,A,15.60,M,A
$SDODC,19:58:34,17° 07.5473' N,091° 38.1884' W,A,16.40,M,A
$SDODC,19:58:34,17° 07.5463' N,091° 38.1889' W,A,15.00,M,A
$SDODC,19:58:34,17° 07.5463' N,091° 38.1889' W,A,16.30,M,A
$SDODC,19:58:35,17° 07.5463' N,091° 38.1889' W,A,16.30,M,A
$SDODC,19:58:35,17° 07.5463' N,091° 38.1889' W,A,15.30,M,A
$SDODC,19:58:35,17° 07.5463' N,091° 38.1889' W,A,14.90,M,A
$SDODC,19:58:35,17° 07.5463' N,091° 38.1889' W,A,14.80,M,A
$SDODC,19:58:36,17° 07.5455' N,091° 38.1894' W,A,15.20,M,A
$SDODC,19:58:36,17° 07.5455' N,091° 38.1894' W,A,15.40,M,A
$SDODC,19:58:36,17° 07.5446' N,091° 38.1892' W,A,15.20,M,A
$SDODC,19:58:36,17° 07.5446' N,091° 38.1892' W,A,15.10,M,A
$SDODC,19:58:37,17° 07.5446' N,091° 38.1892' W,A,14.90,M,A
$SDODC,19:58:37,17° 07.5446' N,091° 38.1892' W,A,15.80,M,A
$SDODC,19:58:37,17° 07.5446' N,091° 38.1892' W,A,17.00,M,A
$SDODC,19:58:37,17° 07.5446' N,091° 38.1892' W,A,14.70,M,A
$SDODC,19:58:38,17° 07.5446' N,091° 38.1892' W,A,15.50,M,A
$SDODC,19:58:38,17° 07.5446' N,091° 38.1892' W,A,14.90,M,A
$SDODC,19:58:38,17° 07.5446' N,091° 38.1892' W,A,15.80,M,A
$SDODC,19:58:38,17° 07.5446' N,091° 38.1892' W,A,14.80,M,A
$SDODC,19:58:39,17° 07.5446' N,091° 38.1892' W,A,15.60,M,A
$SDODC,19:58:39,17° 07.5446' N,091° 38.1892' W,A,15.60,M,A
$SDODC,19:58:39,17° 07.5446' N,091° 38.1892' W,A,15.00,M,A
$SDODC,19:58:39,17° 07.5446' N,091° 38.1892' W,A,16.10,M,A
$SDODC,19:58:40,17° 07.5446' N,091° 38.1892' W,A,17.10,M,A
$SDODC,19:58:40,17° 07.5446' N,091° 38.1892' W,A,18.30,M,A
$SDODC,19:58:40,17° 07.5446' N,091° 38.1892' W,A,16.40,M,A
$SDODC,19:58:40,17° 07.5446' N,091° 38.1892' W,A,15.90,M,A
$SDODC,19:58:41,17° 07.5446' N,091° 38.1892' W,A,17.40,M,A
$SDODC,19:58:41,17° 07.5446' N,091° 38.1892' W,A,16.30,M,A
$SDODC,19:58:41,17° 07.5399' N,091° 38.1853' W,A,17.80,M,A
$SDODC,19:58:41,17° 07.5399' N,091° 38.1853' W,A,16.90,M,A
$SDODC,19:58:42,17° 07.5399' N,091° 38.1853' W,A,17.20,M,A
$SDODC,19:58:42,17° 07.5399' N,091° 38.1853' W,A,18.90,M,A
$SDODC,19:58:42,17° 07.5392' N,091° 38.1841' W,A,18.60,M,A
$SDODC,19:58:42,17° 07.5392' N,091° 38.1841' W,A,21.60,M,A
$SDODC,19:58:43,17° 07.5392' N,091° 38.1841' W,A,19.10,M,A
$SDODC,19:58:43,17° 07.5392' N,091° 38.1841' W,A,19.70,M,A
$SDODC,19:58:43,17° 07.5389' N,091° 38.1831' W,A,20.50,M,A
$SDODC,19:58:43,17° 07.5389' N,091° 38.1831' W,A,19.90,M,A
$SDODC,19:58:44,17° 07.5389' N,091° 38.1831' W,A,19.00,M,A
$SDODC,19:58:44,17° 07.5389' N,091° 38.1831' W,A,21.80,M,A
$SDODC,19:58:44,17° 07.5385' N,091° 38.1816' W,A,20.70,M,A
$SDODC,19:58:44,17° 07.5385' N,091° 38.1816' W,A,20.20,M,A
$SDODC,19:58:45,17° 07.5385' N,091° 38.1816' W,A,22.00,M,A
$SDODC,19:58:45,17° 07.5385' N,091° 38.1816' W,A,21.40,M,A
$SDODC,19:58:45,17° 07.5385' N,091° 38.1816' W,A,21.10,M,A
$SDODC,19:58:45,17° 07.5385' N,091° 38.1816' W,A,21.40,M,A
$SDODC,19:58:46,17° 07.5384' N,091° 38.1803' W,A,22.40,M,A
$SDODC,19:58:46,17° 07.5384' N,091° 38.1803' W,A,21.60,M,A
$SDODC,19:58:46,17° 07.5383' N,091° 38.1791' W,A,22.20,M,A
$SDODC,19:58:46,17° 07.5383' N,091° 38.1791' W,A,22.50,M,A
$SDODC,19:58:47,17° 07.5383' N,091° 38.1791' W,A,22.70,M,A
$SDODC,19:58:47,17° 07.5383' N,091° 38.1791' W,A,23.40,M,A
$SDODC,19:58:47,17° 07.5381' N,091° 38.1773' W,A,22.80,M,A
$SDODC,19:58:47,17° 07.5381' N,091° 38.1773' W,A,24.80,M,A
$SDODC,19:58:48,17° 07.5381' N,091° 38.1773' W,A,25.10,M,A
$SDODC,19:58:48,17° 07.5381' N,091° 38.1773' W,A,23.20,M,A
$SDODC,19:58:48,17° 07.5377' N,091° 38.1750' W,A,23.20,M,A
$SDODC,19:58:48,17° 07.5377' N,091° 38.1750' W,A,24.20,M,A
$SDODC,19:58:49,17° 07.5377' N,091° 38.1750' W,A,24.50,M,A
$SDODC,19:58:49,17° 07.5377' N,091° 38.1750' W,A,24.60,M,A
$SDODC,19:58:49,17° 07.5374' N,091° 38.1727' W,A,26.10,M,A
$SDODC,19:58:49,17° 07.5374' N,091° 38.1727' W,A,25.80,M,A
$SDODC,19:58:50,17° 07.5374' N,091° 38.1727' W,A,25.90,M,A
$SDODC,19:58:50,17° 07.5374' N,091° 38.1727' W,A,25.50,M,A
$SDODC,19:58:50,17° 07.5374' N,091° 38.1727' W,A,26.70,M,A
$SDODC,19:58:50,17° 07.5372' N,091° 38.1707' W,A,25.90,M,A
$SDODC,19:58:51,17° 07.5372' N,091° 38.1707' W,A,26.80,M,A
$SDODC,19:58:51,17° 07.5372' N,091° 38.1707' W,A,26.10,M,A
$SDODC,19:58:51,17° 07.5370' N,091° 38.1685' W,A,26.90,M,A
$SDODC,19:58:51,17° 07.5370' N,091° 38.1685' W,A,27.00,M,A
$SDODC,19:58:52,17° 07.5370' N,091° 38.1685' W,A,26.70,M,A
$SDODC,19:58:52,17° 07.5370' N,091° 38.1685' W,A,27.10,M,A
$SDODC,19:58:52,17° 07.5368' N,091° 38.1666' W,A,27.20,M,A
$SDODC,19:58:52,17° 07.5368' N,091° 38.1666' W,A,29.60,M,A
$SDODC,19:58:53,17° 07.5368' N,091° 38.1666' W,A,29.00,M,A
$SDODC,19:58:53,17° 07.5368' N,091° 38.1666' W,A,28.10,M,A
$SDODC,19:58:53,17° 07.5369' N,091° 38.1649' W,A,29.40,M,A
$SDODC,19:58:53,17° 07.5369' N,091° 38.1649' W,A,30.60,M,A
$SDODC,19:58:54,17° 07.5369' N,091° 38.1649' W,A,29.70,M,A
$SDODC,19:58:54,17° 07.5369' N,091° 38.1649' W,A,30.90,M,A
$SDODC,19:58:54,17° 07.5369' N,091° 38.1632' W,A,30.40,M,A
$SDODC,19:58:54,17° 07.5369' N,091° 38.1632' W,A,32.50,M,A
$SDODC,19:58:55,17° 07.5369' N,091° 38.1632' W,A,31.50,M,A
$SDODC,19:58:55,17° 07.5369' N,091° 38.1632' W,A,31.70,M,A
$SDODC,19:58:55,17° 07.5369' N,091° 38.1632' W,A,32.50,M,A
$SDODC,19:58:55,17° 07.5368' N,091° 38.1614' W,A,32.40,M,A
$SDODC,19:58:56,17° 07.5368' N,091° 38.1614' W,A,32.70,M,A
$SDODC,19:58:56,17° 07.5368' N,091° 38.1614' W,A,31.80,M,A
$SDODC,19:58:56,17° 07.5366' N,091° 38.1597' W,A,34.00,M,A
$SDODC,19:58:56,17° 07.5366' N,091° 38.1597' W,A,33.20,M,A
$SDODC,19:58:57,17° 07.5366' N,091° 38.1597' W,A,35.10,M,A
$SDODC,19:58:57,17° 07.5366' N,091° 38.1597' W,A,33.30,M,A
$SDODC,19:58:57,17° 07.5364' N,091° 38.1581' W,A,33.60,M,A
$SDODC,19:58:57,17° 07.5364' N,091° 38.1581' W,A,33.70,M,A
$SDODC,19:58:58,17° 07.5364' N,091° 38.1581' W,A,33.80,M,A
$SDODC,19:58:58,17° 07.5364' N,091° 38.1581' W,A,34.40,M,A
$SDODC,19:58:58,17° 07.5362' N,091° 38.1565' W,A,35.90,M,A
$SDODC,19:58:58,17° 07.5362' N,091° 38.1565' W,A,34.90,M,A
$SDODC,19:58:59,17° 07.5362' N,091° 38.1565' W,A,34.40,M,A
$SDODC,19:58:59,17° 07.5362' N,091° 38.1565' W,A,35.10,M,A
$SDODC,19:58:59,17° 07.5359' N,091° 38.1551' W,A,36.20,M,A
$SDODC,19:58:59,17° 07.5359' N,091° 38.1551' W,A,36.10,M,A
$SDODC,19:59:00,17° 07.5359' N,091° 38.1551' W,A,36.00,M,A
$SDODC,19:59:00,17° 07.5359' N,091° 38.1551' W,A,36.20,M,A
$SDODC,19:59:00,17° 07.5359' N,091° 38.1551' W,A,36.80,M,A
$SDODC,19:59:00,17° 07.5359' N,091° 38.1551' W,A,36.90,M,A
$SDODC,19:59:01,17° 07.5356' N,091° 38.1538' W,A,36.50,M,A
$SDODC,19:59:01,17° 07.5356' N,091° 38.1538' W,A,36.90,M,A
$SDODC,19:59:01,17° 07.5353' N,091° 38.1523' W,A,38.10,M,A
$SDODC,19:59:01,17° 07.5353' N,091° 38.1523' W,A,37.50,M,A
$SDODC,19:59:02,17° 07.5353' N,091° 38.1523' W,A,38.00,M,A
$SDODC,19:59:02,17° 07.5353' N,091° 38.1523' W,A,38.40,M,A
$SDODC,19:59:02,17° 07.5350' N,091° 38.1509' W,A,38.60,M,A
$SDODC,19:59:02,17° 07.5350' N,091° 38.1509' W,A,38.30,M,A
$SDODC,19:59:03,17° 07.5350' N,091° 38.1509' W,A,39.80,M,A
$SDODC,19:59:03,17° 07.5350' N,091° 38.1509' W,A,38.90,M,A
$SDODC,19:59:03,17° 07.5347' N,091° 38.1493' W,A,40.00,M,A
$SDODC,19:59:03,17° 07.5347' N,091° 38.1493' W,A,40.20,M,A
$SDODC,19:59:04,17° 07.5347' N,091° 38.1493' W,A,39.60,M,A
$SDODC,19:59:04,17° 07.5347' N,091° 38.1493' W,A,40.40,M,A
$SDODC,19:59:04,17° 07.5344' N,091° 38.1479' W,A,40.60,M,A
$SDODC,19:59:04,17° 07.5344' N,091° 38.1479' W,A,40.30,M,A
$SDODC,19:59:05,17° 07.5344' N,091° 38.1479' W,A,40.80,M,A
$SDODC,19:59:05,17° 07.5344' N,091° 38.1479' W,A,40.30,M,A
$SDODC,19:59:05,17° 07.5344' N,091° 38.1479' W,A,41.10,M,A
