$SDODC,19:32:32,17° 07.4629' N,091° 38.0874' W,A,4.10,M,A
$SDODC,19:32:32,17° 07.4635' N,091° 38.0871' W,A,4.10,M,A
$SDODC,19:32:32,17° 07.4635' N,091° 38.0871' W,A,4.10,M,A
$SDODC,19:32:32,17° 07.4635' N,091° 38.0871' W,A,4.10,M,A
$SDODC,19:32:32,17° 07.4635' N,091° 38.0871' W,A,4.10,M,A
$SDODC,19:32:32,17° 07.4641' N,091° 38.0869' W,A,4.10,M,A
$SDODC,19:32:32,17° 07.4641' N,091° 38.0869' W,A,4.10,M,A
$SDODC,19:32:32,17° 07.4641' N,091° 38.0869' W,A,0.40,M,V
$SDODC,19:32:32,17° 07.4641' N,091° 38.0869' W,A,0.40,M,V
$SDODC,19:32:32,17° 07.4647' N,091° 38.0866' W,A,0.40,M,V
$SDODC,19:32:32,17° 07.4647' N,091° 38.0866' W,A,0.40,M,V
$SDODC,19:32:32,17° 07.4647' N,091° 38.0866' W,A,0.40,M,V
$SDODC,19:32:32,17° 07.4647' N,091° 38.0866' W,A,0.40,M,V
$SDODC,19:32:32,17° 07.4647' N,091° 38.0866' W,A,0.40,M,V
$SDODC,19:32:32,17° 07.4647' N,091° 38.0866' W,A,0.40,M,V
$SDODC,19:32:32,17° 07.4647' N,091° 38.0866' W,A,0.40,M,V
$SDODC,19:32:32,17° 07.4647' N,091° 38.0866' W,A,0.40,M,V
$SDODC,19:32:32,17° 07.4647' N,091° 38.0866' W,A,0.40,M,V
$SDODC,19:32:32,17° 07.4647' N,091° 38.0866' W,A,0.40,M,V
$SDODC,19:32:32,17° 07.4647' N,091° 38.0866' W,A,0.40,M,V
$SDODC,19:32:32,17° 07.4647' N,091° 38.0866' W,A,0.40,M,V
$SDODC,19:32:32,17° 07.4647' N,091° 38.0866' W,A,0.40,M,V
$SDODC,19:32:32,17° 07.4647' N,091° 38.0866' W,A,0.40,M,V
$SDODC,19:32:32,17° 07.4647' N,091° 38.0866' W,A,0.40,M,V
$SDODC,19:32:32,17° 07.4647' N,091° 38.0866' W,A,36.20,M,A
$SDODC,19:32:32,17° 07.4647' N,091° 38.0866' W,A,36.40,M,A
$SDODC,19:32:32,17° 07.4647' N,091° 38.0866' W,A,35.50,M,A
$SDODC,19:32:32,17° 07.4647' N,091° 38.0866' W,A,36.70,M,A
