Name	Latitude 	Longitude	Z 	Water depth (m)
MET1	17.130381	-91.634037	0	14.5
MET2	17.130662	-91.634446	0	16.9
MET3	17.130892	-91.634926	0	17.8
MET4	17.130979	-91.635411	0	17.1
MET5	17.130993	-91.635911	0	17.1
MET6	17.131139	-91.636485	0	17.0
MET7	17.131211	-91.636985	0	17.3
MET8	17.13132	-91.637532	0	17.3
MET9	17.131358	-91.638052	0	18.5
MET10	17.131418	-91.638548	0	16.7
MET11	17.131479	-91.639064	0	15.2
MET12	17.131763	-91.639465	0	14.6
MET13	17.13199	-91.639903	0	14.1
MET14	17.132056	-91.640374	0	13.9
MET15	17.132327	-91.640822	0	14.5
MET16	17.132737	-91.64108	0	15.1
MET17	17.133209	-91.641162	0	15.8
MET18	17.1337		-91.641227	0	16.2
MET19	17.13414	-91.641446	0	16.2
MET20	17.134586	-91.641689	0	10.8
MET21	17.135075	-91.641882	0	16.9
MET22	17.135535	-91.642155	0	16.7
MET23	17.135956	-91.642438	0	16.4
MET24	17.136355	-91.64276	0	14.5
MET25	17.136759	-91.642942	0	6.2
