Name	Latitude 	Longitude	Z 	Depth (m)	Distance(m)
MET1	17.130381	-91.634037	0	14.5	1315
MET2	17.130662	-91.634446	0	16.9	1261
MET3	17.130892	-91.634926	0	17.8	1203
MET4	17.130979	-91.635411	0	17.1	1152
MET5	17.130993	-91.635911	0	17.1	1098
MET6	17.131139	-91.636485	0	17.0	1035
MET7	17.131211	-91.636985	0	17.3	980
MET8	17.13132	-91.637532	0	17.3	922
MET9	17.131358	-91.638052	0	18.5	866
MET10	17.131418	-91.638548	0	16.7	813
MET11	17.131479	-91.639064	0	15.2	757
MET12	17.131763	-91.639465	0	14.6	706
MET13	17.13199	-91.639903	0	14.1	653
MET14	17.132056	-91.640374	0	13.9	602
MET15	17.132327	-91.640822	0	14.5	546
MET16	17.132737	-91.64108	0	15.1	494
MET17	17.133209	-91.641162	0	15.8	441
MET18	17.1337		-91.641227	0	16.2	387
MET19	17.13414	-91.641446	0	16.2	332
MET20	17.134586	-91.641689	0	10.8	277
MET21	17.135075	-91.641882	0	16.9	219
MET22	17.135535	-91.642155	0	16.7	160
MET23	17.135956	-91.642438	0	16.4	105
MET24	17.136355	-91.64276	0	14.5	48
MET25	17.136759	-91.642942	0	6.20	0
