Name	Latitude 	Longitude	Z 	Depth (m)
TZI1	17.125184	-91.625223	0	14.0
TZI2	17.124681	-91.625482	0	20.3
TZI3	17.124202	-91.625634	0	20.5
TZI4	17.123516	-91.625883	0	19.2
TZI5	17.122956	-91.625959	0	29.0
TZI6	17.122463	-91.626184	0	34.0
TZI7	17.122012	-91.626461	0	34.0
TZI8	17.121564	-91.626662	0	34.6
TZI9	17.121192	-91.626928	0	36.4
TZI10	17.120857	-91.627274	0	34.4
TZI11	17.120476	-91.627515	0	34.0
TZI12	17.120069	-91.627717	0	31.2
TZI13	17.119576	-91.627774	0	30.3
TZI14	17.119181	-91.62751	0	27.2
TZI15	17.118724	-91.627392	0	22.5
TZI16	17.118344	-91.627146	0	17.9
TZI17	17.117913	-91.626931	0	9.6
TZI18	17.117406	-91.626796	0	10.5
TZI19	17.116958	-91.626852	0	7.9
TZI20	17.116591	-91.626992	0	8.0
TZI21	17.116209	-91.627019	0	8.8
TZI22	17.116301	-91.62754	0	10.0
TZI23	17.11665	-91.627868	0	14.1
TZI24	17.117034	-91.628178	0	16.6
TZI25	17.117463	-91.628353	0	13.6
TZI26	17.1178		-91.628702	0	8.5
TZI27	17.11825	-91.628838	0	18.8
TZI28	17.118681	-91.629043	0	21.0
TZI29	17.119159	-91.629255	0	24.0
TZI30	17.119642	-91.629452	0	24.7
TZI31	17.120062	-91.629248	0	29.0
TZI32	17.120473	-91.629439	0	27.0
TZI33	17.120912	-91.629536	0	30.0
TZI34	17.121303	-91.629794	0	27.6
TZI35	17.121706	-91.630048	0	26.0
TZI36	17.122122	-91.630265	0	26.0
TZI37	17.122581	-91.630328	0	34.3
TZI38	17.123072	-91.630506	0	34.3
TZI39	17.123435	-91.630838	0	36.2
TZI40	17.123814	-91.631108	0	39.5
TZI41	17.116718	-91.625218	0	11.0
TZI41B	17.116718	-91.625218	0	11.0
TZI42	17.117047	-91.625607	0	8.6
TZI43	17.117206	-91.626059	0	7.6
TZI44	17.117248	-91.626485	0	10.3
TZI45	17.121554	-91.623355	0	27.5
TZI46	17.121703	-91.623853	0	27.4
TZI47	17.122162	-91.624133	0	25.3
TZI48	17.12195	-91.624598	0	31.8
TZI49	17.122141	-91.625131	0	32.5
TZI50	17.122043	-91.6257	0	34.2
TZI51	17.121725	-91.626229	0	35.2
TZI52	17.122136	-91.627084	0	34.6
TZI53	17.122279	-91.627687	0	34.9
TZI54	17.12241	-91.628204	0	35.5
TZI55	17.122694	-91.628799	0	11.8
TZI56	17.122959	-91.629232	0	7.2
TZI57	17.123186	-91.629798	0	36.8
TZI58	17.123625	-91.630114	0	36.9
TZI59	17.123959	-91.63048	0	37.6
TZI59B	17.123959	-91.63048	0	37.6
TZI60	17.124262	-91.630894	0	39.2
TZI61	17.124604	-91.631261	0	51.0
TZI62	17.124732	-91.631751	0	51.4
TZI63	17.124831	-91.632235	0	52.1
TZI64	17.124998	-91.632713	0	22.5
TZI65	17.125		-91.633216	0	42.7
TZI66	17.125123	-91.633711	0	41.1
TZI67	17.125134	-91.634202	0	37.0
TZI68	17.125101	-91.634696	0	45.1
TZI69	17.12522	-91.635157	0	46.4
TZI70	17.12523	-91.635637	0	40.4
TZI71	17.125406	-91.636067	0	19.5
