No	x (m)	z (m)
1	0	7
2	10	5.25
3	20	4
4	30	3
5	40	2
6	50	1.5
7	60	1
8	70	0
9	80	0.75
10	90	1
11	100	1.2
12	110	1.3
13	120	1.4
14	130	1.5
15	140	1.5
16	150	1.5
17	160	1.6
18	170	1.6
19	180	1.6
20	190	1.6
21	200	1.7
22	210	1.7
23	220	1.7
24	230	1.8
25	240	1.8
26	250	1.8
27	260	1.9
28	270	1.9
29	280	2
30	290	3
31	300	4.5
32	310	5.5
33	320	6
34	330	3.2
35	340	2.8
36	350	2.8
37	360	2.8
38	370	2.8
39	380	2.8
40	390	2.8
41	400	2.8
42	410	5
43	420	7.3
44	430	7.5
45	440	5.5
46	450	2.8
47	460	2.8
48	470	2.8
49	480	2.8
50	490	2.8
51	500	2.8
52	510	2.8
53	520	2.8
54	530	2.8
55	540	2.8
56	550	2.8
57	560	2.8
58	570	2.5
59	580	1.5
60	590	2.5
61	600	2.8
62	610	2.8
63	620	2.8
64	630	2.8
65	640	2.8
66	650	2.8
67	660	2.8
68	670	2.8
69	680	2.8
70	690	2.8
71	700	2.8
72	710	2.8
