Electrode positions along TDIP lines,,,
Datum: WGS84,,,
TDIP line,Elc. No.,Latitude (°),Longitude (°)
MET19-1,1,17.13524,-91.63541
MET19-1,24,17.13322,-91.63541
MET19-1,48,17.13111,-91.6356
MET19-2,1,17.133125,-91.635413
MET19-2,24,17.13111,-91.6356
MET19-2,48,17.12899,-91.63567
MET19-3,1,17.13121667,-91.6355
MET19-3,13,17.1307,-91.63551667
MET19-3,24,17.13016667,-91.63553333
MET19-3,36,17.12963333,-91.63558333
MET19-3,48,17.12908333,-91.63563333
MET19-4,1,17.13028333,-91.63611667
MET19-4,12,17.13023333,-91.6356
MET19-4,24,17.13018333,-91.63501667
MET19-5,1,17.131211,-91.636983
MET19-5,13,17.13113,-91.636429
MET19-5,36,17.130962,-91.635351
MET19-5,48,17.130877,-91.634814
MET19-6,1,17.13202,-91.63533
MET19-6,12,17.13153,-91.63541
MET19-6,24,17.131,-91.63547
MET19-7,1,17.12845,-91.63573
MET19-7,24,17.1275,-91.63553
MET19-7,48,17.12653,-91.63511
TZI19-1,1,17.11816,-91.6272
TZI19-1,9,17.11757,-91.62672
TZI19-1,13,17.117405,-91.626462
TZI19-1,24,17.11717,-91.62601
TZI19-1,36,17.11681511,-91.62562012
TZI19-1,48,17.11596,-91.62498
