No	x (m)	z (m)
1	0	0
2	10	0
3	20	0
4	30	1.2
5	40	3.2
6	50	5.7
7	60	6
8	70	6.2
9	80	6.2
10	90	3.9
11	100	2.1
12	110	2.1
13	115	2.1
14	120	2.1
15	125	2.1
16	130	2.1
17	135	2.1
18	140	2.1
19	145	3
20	150	4.6
21	155	4.8
22	160	4.7
23	165	4.7
24	170	4.7
25	175	4.55
26	180	4.4
27	185	4.25
28	190	4.1
29	195	3.95
30	200	3.8
31	205	3.65
32	210	3.5
33	215	3.35
34	220	3.2
35	225	3.05
36	230	2.9
37	235	2.6
38	245	2.6
39	255	2.6
40	265	2.6
41	275	2.6
42	285	2.6
43	295	2.6
44	305	2.6
45	315	2.6
46	325	3.8
47	335	6.6
48	345	8.8
